"Name","Platform","Compiles","CompilesDouble","Uses","UsesDouble","PermutationString"
"/Game/Toony_Tiny_Citizens/Materials/M_Citizens_B.M_Citizens_B","16","0","0","24","0","Compiling M_Citizens_B: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Toony_Tiny_Citizens/Materials/M_Floor.M_Floor","16","0","0","21","0","Compiling M_Floor: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithStaticLighting}"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt2.Mat_T_Alienboy_tshirt2","16","0","0","36","0","Compiling Mat_T_Alienboy_tshirt2: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts5.Mat_T_Alienboy_shorts5","16","0","0","36","0","Compiling Mat_T_Alienboy_shorts5: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/head/Mat_T_Alienboy_head1.Mat_T_Alienboy_head1","16","0","0","24","0","Compiling Mat_T_Alienboy_head1: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/eyes/Mat_T_Alienboy_eyes.Mat_T_Alienboy_eyes","16","0","0","24","0","Compiling Mat_T_Alienboy_eyes: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/cross/Mat_T_Alienboy_cross1.Mat_T_Alienboy_cross1","16","0","0","24","0","Compiling Mat_T_Alienboy_cross1: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/cap/Mat_T_Alienboy_cap1.Mat_T_Alienboy_cap1","16","0","0","36","0","Compiling Mat_T_Alienboy_cap1: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/body/Mat_T_Alienboy_body1.Mat_T_Alienboy_body1","16","0","0","24","0","Compiling Mat_T_Alienboy_body1: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt9.Mat_T_Alienboy_tshirt9","16","0","0","36","0","Compiling Mat_T_Alienboy_tshirt9: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt8.Mat_T_Alienboy_tshirt8","16","0","0","36","0","Compiling Mat_T_Alienboy_tshirt8: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt7.Mat_T_Alienboy_tshirt7","16","0","0","36","0","Compiling Mat_T_Alienboy_tshirt7: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt6.Mat_T_Alienboy_tshirt6","16","0","0","36","0","Compiling Mat_T_Alienboy_tshirt6: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt5.Mat_T_Alienboy_tshirt5","16","0","0","36","0","Compiling Mat_T_Alienboy_tshirt5: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt4.Mat_T_Alienboy_tshirt4","16","0","0","36","0","Compiling Mat_T_Alienboy_tshirt4: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt3.Mat_T_Alienboy_tshirt3","16","0","0","36","0","Compiling Mat_T_Alienboy_tshirt3: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt10.Mat_T_Alienboy_tshirt10","16","0","0","36","0","Compiling Mat_T_Alienboy_tshirt10: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt1.Mat_T_Alienboy_tshirt1","16","0","0","36","0","Compiling Mat_T_Alienboy_tshirt1: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts9.Mat_T_Alienboy_shorts9","16","0","0","36","0","Compiling Mat_T_Alienboy_shorts9: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts8.Mat_T_Alienboy_shorts8","16","0","0","36","0","Compiling Mat_T_Alienboy_shorts8: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts7.Mat_T_Alienboy_shorts7","16","0","0","36","0","Compiling Mat_T_Alienboy_shorts7: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts6.Mat_T_Alienboy_shorts6","16","0","0","36","0","Compiling Mat_T_Alienboy_shorts6: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts4.Mat_T_Alienboy_shorts4","16","0","0","36","0","Compiling Mat_T_Alienboy_shorts4: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts3.Mat_T_Alienboy_shorts3","16","0","0","36","0","Compiling Mat_T_Alienboy_shorts3: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts2.Mat_T_Alienboy_shorts2","16","0","0","36","0","Compiling Mat_T_Alienboy_shorts2: Platform=SF_METAL_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
